Dev_ID,Batch_ID,Product,Production_Line,Deviation_Date,Month_Year,Quarter,Dev_Type,Parameter_Affected,Root_Cause_Category,Root_Cause_Description,Severity,Detected_By,Status,CAPA_Raised
DEV-0232,BCH-2023-0749,Banana Chips,Line E,2025-05-16 00:00:00,May-2025,Q2-2025,Packaging Defect,Packaging Seal,Training Gap,SOP revision not communicated to night shift,Minor,Environmental Swab,Closed — Effective,Yes
DEV-0233,BCH-2022-0315,Roasted Corn,Line C,2023-06-08 00:00:00,Jun-2023,Q2-2023,Microbial OOS,TPC,Raw Material Issue,Supplier batch YM count borderline on CoA,Major,QC Analyst,Closed — Effective,Yes
DEV-0234,BCH-2024-1085,Banana Chips,Line E,2026-12-03 00:00:00,Dec-2026,Q4-2026,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Oil temperature overshoot — thermostat drift,Major,QC Supervisor,Closed — Effective,Yes
DEV-0235,BCH-2024-1208,Tapioca Crisps,Line B,2027-07-05 00:00:00,Jul-2027,Q3-2027,Documentation Error,pH,Equipment Failure,Packaging seal integrity failure,Critical,Production Operator,Closed — Effective,Yes
DEV-0236,BCH-2024-1090,Okra Chips,Line D,2026-12-12 00:00:00,Dec-2026,Q4-2026,Process Deviation,Moisture%,Human Error,BMR entry not completed contemporaneously,Major,Internal Auditor,Closed — Effective,Yes
DEV-0237,BCH-2022-0122,Okra Chips,Line B,2022-07-15 00:00:00,Jul-2022,Q3-2022,Equipment Malfunction,Purity%,Environmental Control Failure,Cold storage compressor failure — temp excursion,Major,Automated Alarm,Closed — Pending Verification,Yes
DEV-0238,BCH-2024-0883,Roasted Corn,Line A,2025-12-28 00:00:00,Dec-2025,Q4-2025,Environmental Excursion,Coliform,Supplier Non-conformance,Incorrect labelling on raw material bags,Major,External Audit,CAPA Raised,Yes
DEV-0239,BCH-2022-0375,Masala Peanuts,Line C,2023-08-29 00:00:00,Aug-2023,Q3-2023,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Equipment MTTR exceeded SLA — production delay,Major,Customer Complaint,Closed — Effective,Yes
DEV-0240,BCH-2023-0655,Masala Peanuts,Line A,2024-12-02 00:00:00,Dec-2024,Q4-2024,Packaging Defect,Packaging Seal,Training Gap,Training records incomplete for promoted QC officer,Major,Environmental Swab,Closed — Effective,Yes
DEV-0241,BCH-2022-0299,Roasted Corn,Line E,2023-05-15 00:00:00,May-2023,Q2-2023,Microbial OOS,TPC,Raw Material Issue,Incoming RM lot TPC exceeded baseline by 2x,Major,QC Analyst,Closed — Effective,Yes
DEV-0242,BCH-2022-0310,Sweet Potato Chips,Line D,2023-05-29 00:00:00,May-2023,Q2-2023,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Blanching time reduced due to PLC timing error,Major,QC Supervisor,Closed — Pending Verification,Yes
DEV-0243,BCH-2023-0601,Jackfruit Chips,Line A,2024-09-03 00:00:00,Sep-2024,Q3-2024,Documentation Error,pH,Equipment Failure,Autoclave pressure sensor malfunction,Major,Production Operator,CAPA Raised,Yes
DEV-0244,BCH-2022-0025,Jackfruit Chips,Line A,2022-02-22 00:00:00,Feb-2022,Q1-2022,Process Deviation,Moisture%,Human Error,Test skipped — analyst assumed pass from previous batch,Minor,Internal Auditor,CAPA Raised,No
DEV-0245,BCH-2023-0820,Chickpea Snacks,Line D,2025-09-17 00:00:00,Sep-2025,Q3-2025,Equipment Malfunction,Purity%,Environmental Control Failure,Pest ingress — production line suspended,Major,Automated Alarm,Closed — Effective,Yes
DEV-0246,BCH-2023-0592,Tapioca Crisps,Line D,2024-08-12 00:00:00,Aug-2024,Q3-2024,Environmental Excursion,Coliform,Supplier Non-conformance,Supplier CoA values inconsistent with in-house test,Major,External Audit,CAPA Raised,Yes
DEV-0247,BCH-2023-0663,Masala Peanuts,Line C,2024-12-28 00:00:00,Dec-2024,Q4-2024,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Calibration certificate expired — instrument quarantined,Major,Customer Complaint,Closed — Pending Verification,Yes
DEV-0248,BCH-2022-0204,Chickpea Snacks,Line F,2022-11-26 00:00:00,Nov-2022,Q4-2022,Packaging Defect,Packaging Seal,Training Gap,Operator unaware of updated critical limit,Major,Environmental Swab,Closed — Effective,Yes
DEV-0249,BCH-2022-0024,Tapioca Crisps,Line F,2022-02-19 00:00:00,Feb-2022,Q1-2022,Microbial OOS,TPC,Raw Material Issue,RM purity below specification — supplier fault,Minor,QC Analyst,CAPA Raised,No
DEV-0250,BCH-2022-0156,Chickpea Snacks,Line F,2022-09-07 00:00:00,Sep-2022,Q3-2022,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Conveyor speed inconsistency caused uneven frying,Major,QC Supervisor,Closed — Effective,Yes
DEV-0251,BCH-2023-0736,Tapioca Crisps,Line D,2025-04-22 00:00:00,Apr-2025,Q2-2025,Documentation Error,pH,Equipment Failure,pH meter calibration drift — monthly check,Major,Production Operator,CAPA Raised,Yes
DEV-0252,BCH-2022-0159,Masala Peanuts,Line C,2022-09-11 00:00:00,Sep-2022,Q3-2022,Process Deviation,Moisture%,Human Error,Analyst used expired reagent for TPC,Major,Internal Auditor,CAPA Raised,Yes
DEV-0253,BCH-2022-0178,Okra Chips,Line D,2022-10-16 00:00:00,Oct-2022,Q4-2022,Equipment Malfunction,Purity%,Environmental Control Failure,Poor sanitation — environmental swab positive,Major,Automated Alarm,Closed — Effective,Yes
DEV-0254,BCH-2023-0561,Jackfruit Chips,Line C,2024-06-10 00:00:00,Jun-2024,Q2-2024,Environmental Excursion,Coliform,Supplier Non-conformance,Supplier changed manufacturing site without notification,Critical,External Audit,CAPA Raised,Yes
DEV-0255,BCH-2023-0791,Masala Peanuts,Line E,2025-07-28 00:00:00,Jul-2025,Q3-2025,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Filter replacement overdue — micro contamination risk,Major,Customer Complaint,Closed — Effective,Yes
DEV-0256,BCH-2022-0207,Masala Peanuts,Line C,2022-12-04 00:00:00,Dec-2022,Q4-2022,Packaging Defect,Packaging Seal,Training Gap,New analyst performed test without adequate supervision,Critical,Environmental Swab,Closed — Effective,Yes
DEV-0257,BCH-2024-1089,Jackfruit Chips,Line C,2026-12-11 00:00:00,Dec-2026,Q4-2026,Microbial OOS,TPC,Raw Material Issue,Moisture in raw ingredients elevated at goods-in,Major,QC Analyst,Closed — Effective,Yes
DEV-0258,BCH-2024-1216,Tapioca Crisps,Line D,2027-07-17 00:00:00,Jul-2027,Q3-2027,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Process water pH not adjusted pre-use,Minor,QC Supervisor,Closed — Effective,No
DEV-0259,BCH-2024-1246,Sweet Potato Chips,Line D,2027-09-17 00:00:00,Sep-2027,Q3-2027,Documentation Error,pH,Equipment Failure,Conveyor belt slippage — unplanned downtime,Major,Production Operator,Closed — Effective,Yes
DEV-0260,BCH-2022-0285,Banana Chips,Line C,2023-04-23 00:00:00,Apr-2023,Q2-2023,Process Deviation,Moisture%,Human Error,Wrong product code entered in LIMS,Major,Internal Auditor,CAPA Raised,Yes
DEV-0261,BCH-2022-0251,Roasted Corn,Line E,2023-02-12 00:00:00,Feb-2023,Q1-2023,Equipment Malfunction,Purity%,Environmental Control Failure,AHU malfunction — ambient temp excursion,Major,Automated Alarm,Closed — Effective,Yes
DEV-0262,BCH-2023-0671,Masala Peanuts,Line E,2025-01-12 00:00:00,Jan-2025,Q1-2025,Environmental Excursion,Coliform,Supplier Non-conformance,Packaging material lot with sub-spec barrier properties,Major,External Audit,Closed — Pending Verification,Yes
DEV-0263,BCH-2024-1166,Sweet Potato Chips,Line B,2027-04-29 00:00:00,Apr-2027,Q2-2027,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Preventive maintenance skipped during peak production,Major,Customer Complaint,Closed — Effective,Yes
DEV-0264,BCH-2022-0134,Sweet Potato Chips,Line B,2022-08-09 00:00:00,Aug-2022,Q3-2022,Packaging Defect,Packaging Seal,Training Gap,Incorrect interpretation of borderline result,Major,Environmental Swab,CAPA Raised,Yes
DEV-0265,BCH-2024-0864,Tapioca Crisps,Line F,2025-11-28 00:00:00,Nov-2025,Q4-2025,Microbial OOS,TPC,Raw Material Issue,Contaminated raw material lot passed incoming QC,Major,QC Analyst,CAPA Raised,Yes
DEV-0266,BCH-2024-0923,Roasted Corn,Line E,2026-02-26 00:00:00,Feb-2026,Q1-2026,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Frying temp dropped below spec during shift changeover,Major,QC Supervisor,Closed — Effective,Yes
